service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
203780007,1,1,1,1,1,0,0,20191216,20200110
199754504,0,0,0,0,0,1,0,20191221,20200111
199756603,0,0,0,0,0,0,1,20191222,20200112
203944053,1,1,1,1,1,0,0,20191223,20200103
203677052,1,1,1,1,1,0,0,20191231,20191231
191402000,1,1,1,1,1,0,0,20191216,20200110
191461500,0,0,0,0,0,1,0,20191221,20200111
191404600,0,0,0,0,0,0,1,20191222,20200112
203983051,1,1,1,1,1,0,0,20191223,20200103
204694052,1,1,1,1,1,0,0,20191231,20191231
204789606,0,0,0,0,0,0,1,20200101,20200101
191403000,1,1,1,1,1,0,0,20191216,20191220
191462500,0,0,0,0,0,1,0,20191221,20200104
191405600,0,0,0,0,0,0,1,20191222,20200105
203984051,1,1,1,1,1,0,0,20191223,20200103
204693052,1,1,1,1,1,0,0,20191231,20191231
204674001,1,1,1,1,1,0,0,20200106,20200110
204675503,0,0,0,0,0,1,0,20200111,20200111
204676603,0,0,0,0,0,0,1,20200112,20200112
199721001,1,1,1,1,1,0,0,20191216,20200110
191929500,0,0,0,0,0,1,0,20191221,20200111
191771600,0,0,0,0,0,0,1,20191222,20200112
203985051,1,1,1,1,1,0,0,20191223,20200103
204692052,1,1,1,1,1,0,0,20191231,20191231
199722002,1,1,1,1,1,0,0,20191216,20200110
191168501,0,0,0,0,0,1,0,20191221,20200111
191101600,0,0,0,0,0,0,1,20191222,20200112
203742051,1,1,1,1,1,0,0,20191223,20200103
204328052,1,1,1,1,1,0,0,20191231,20191231
191084000,1,1,1,1,1,0,0,20191216,20200110
191061500,0,0,0,0,0,1,0,20191221,20200111
191058600,0,0,0,0,0,0,1,20191222,20200112
203988051,1,1,1,1,1,0,0,20191223,20200103
204272052,1,1,1,1,1,0,0,20191231,20191231
203544008,1,1,1,1,1,0,0,20191216,20191216
191085000,1,1,1,1,1,0,0,20191217,20200110
191808070,1,1,1,1,1,0,0,20191218,20200108
191060500,0,0,0,0,0,1,0,20191221,20200111
191059600,0,0,0,0,0,0,1,20191222,20200112
203990051,1,1,1,1,1,0,0,20191223,20200103
204274052,1,1,1,1,1,0,0,20191231,20191231
199723002,1,1,1,1,1,0,0,20191216,20191220
191928500,0,0,0,0,0,1,0,20191221,20200111
191772600,0,0,0,0,0,0,1,20191222,20200112
203986051,1,1,1,1,1,0,0,20191223,20200103
204691052,1,1,1,1,1,0,0,20191231,20191231
204677003,1,1,1,1,1,0,0,20200106,20200110
201169002,1,1,1,1,1,0,0,20191216,20200110
191038500,0,0,0,0,0,1,0,20191221,20200111
191030600,0,0,0,0,0,0,1,20191222,20200112
